audio	text
files/CTRL/CTRL_1.wav	Thank you for your participation to this test, please ignore the written question and set the score to 1.
files/CTRL/CTRL_2.wav	Thank you for your participation to this test, please ignore the written question and set the score to 2.
files/CTRL/CTRL_3.wav	Thank you for your participation to this test, please ignore the written question and set the score to 3.
files/CTRL/CTRL_1.wav	Thank you for your participation to this test, please ignore the written question and set the score to 1.
files/CTRL/CTRL_2.wav	Thank you for your participation to this test, please ignore the written question and set the score to 2.
files/CTRL/CTRL_3.wav	Thank you for your participation to this test, please ignore the written question and set the score to 3.
files/CTRL/CTRL_1.wav	Thank you for your participation to this test, please ignore the written question and set the score to 1.
files/CTRL/CTRL_2.wav	Thank you for your participation to this test, please ignore the written question and set the score to 2.
